Country;#;Name;Competitor;Group;Vehicle;SS1 Auto Bild I (Aukštadvaris);SS2 Auto Bild II (Aukštadvaris);SS3 Gold FM I (Kaunas);SS4 Gold FM II (Kaunas);SS5 Continental I (Nacionalinis žiedas);SS6 Continental II (Nacionalinis žiedas);SS7 Kėdainiai I;SS8 Kėdainiai II;SS9 Nissan I (Kuršėnai);SS10 Nissan II (Kuršėnai);LK Day 1;SS11 Melnragė I;SS12 Melnragė II;SS13 15min I (Merkio g.);SS14 15min II (Merkio g.);SS15 Febi I (Mickai);SS16 Febi III (Mickai);SS17 Inbalance I (Švepelių g. );SS18 Transeksta I (Perkėlos g.);SS19 Transeksta II (Perkėlos g.);SS20 Febi III (Mickai);SS21 Febi IV (Mickai);SS22 Inbalance II (Švepelių g.);LK Day 2;Total spent time
lt;#107;Tomas Markelevičius - Tadas Martinaitis;15min;PRESS iki 2000cc;Mitsubishi Colt (2000);00:02:20.552;00:02:22.288;00:00:42.851;00:00:41.485;00:03:19.002;00:03:13.681;00:01:31.172;00:01:22.963;00:01:58.995;00:01:55.932;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:37.947;00:01:33.431;00:02:04.492;00:02:00.697;00:04:36.525;00:01:15.753;00:01:14.433;00:02:02.350;00:01:57.782;00:04:38.062;00:00:00.000;00:42:30.393
lt;#105;Egidijus Babelis - Saulius Masonas;;PRESS iki 2000cc;Mazda CX-30;00:02:34.052;00:02:31.768;00:00:44.999;00:00:43.854;00:03:23.017;00:03:22.806;00:01:27.625;00:01:25.392;00:02:02.221;00:02:02.690;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:40.208;00:01:39.520;00:02:07.915;00:02:05.314;00:04:45.246;00:01:24.662;00:01:21.449;00:02:08.065;00:02:03.088;00:04:43.174;00:00:00.000;00:44:17.065
lt;#104;Dainius Leonavičius - Adomas Šablevičius;;PRESS iki 2000cc;Nissan Almera GT (2000);00:02:35.742;00:02:35.457;00:00:43.782;00:00:44.361;00:03:31.877;00:03:29.454;00:02:04.779 (N);00:01:28.038;00:02:09.162;00:02:08.364;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:42.151;00:01:37.804;00:02:07.958;00:02:05.696;00:04:47.352;00:01:18.125;00:01:18.478;00:02:06.476;00:02:04.299;00:04:46.815;00:00:00.000;00:45:26.170
lt;#106;Mindaugas Grinius - Adomas Grinius;;PRESS iki 2000cc;Toyota Corolla Hybrid (1800);00:02:34.350;00:02:35.589;00:00:46.030;00:00:44.710;00:03:46.851;00:03:52.677;00:01:34.779;00:01:32.959;00:02:19.759;00:02:08.750;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:41.089;00:01:38.306;00:02:08.371;00:02:06.199;00:04:56.839;00:01:27.267;00:01:20.066;00:02:05.506;00:02:03.744;00:04:56.367;00:00:00.000;00:46:20.208
lt;#103;Kristijonas Kaikaris - Gintautas Ignotas;TokvilaBee;PRESS iki 3000cc;Toyota GR Yaris (1618);00:02:18.882;00:02:19.538;00:00:38.650;00:00:39.300;00:03:06.331;00:02:58.711;00:01:19.900;00:01:16.838;00:01:56.311;00:01:55.234;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:31.055;00:01:23.022;00:01:56.295;00:01:51.527;00:04:16.003;00:01:07.447;00:01:07.883;00:01:56.525;00:01:51.047;00:04:09.012;00:00:00.000;00:39:39.511
lt;#116;Mantas Kerevičius - Eigilė Juodytė;;PRESS iki 3000cc;BMW 328i (2800);00:02:29.837;00:02:29.710;00:00:43.891;00:00:41.008;00:03:25.133;00:03:18.097;00:01:23.836;00:01:21.454;00:02:05.673;00:02:02.717;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:36.729;00:01:32.350;00:02:23.490;00:02:06.843;00:05:40.934 (N);00:01:34.258;00:01:22.637;00:02:08.086;00:02:02.564;00:04:44.940;00:00:00.000;00:45:14.187
lt;#110;Timūras Augucevičius - Gedas Saročka;;PRESS iki 3000cc;Mini Coopers;00:02:25.720;00:02:26.477;00:00:43.271;00:00:42.481;00:03:14.985;00:03:21.754;00:01:23.333;00:01:20.539;00:02:01.450;00:01:59.270;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:37.654;00:01:35.512;00:02:53.490 (N);00:02:00.110;00:05:40.934 (N);00:02:04.258 (N);00:01:54.220 (N);00:01:58.201;00:01:55.369;00:04:25.996;00:00:10.000;00:45:55.024
lt;#112;Artūras Pakėnas - Eidvilė Verkauskienė;GOLD FM;PRESS iki 3000cc;BMW 325 compact (2500);00:02:32.499;00:02:30.418;00:00:46.866;00:00:45.253;00:03:51.747;00:03:39.325;00:01:33.517;00:01:30.610;00:02:11.586;00:02:06.232;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:59.565;00:01:46.700;00:02:14.635;00:02:09.479;00:05:10.934;00:01:26.234;00:01:24.220;00:02:12.453;00:02:14.376;00:05:06.194;00:00:00.000;00:47:12.843
lt;#109;Antanas Akučka - Akvilė Akučkaitė Paulauskė;;PRESS iki 4000cc;Ford Focus RS (2017);00:02:13.173;00:02:13.753;00:00:37.992;00:00:38.718;00:03:06.885;00:03:14.095;00:01:18.604;00:01:15.747;00:01:50.008;00:01:47.098;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:27.639;00:01:28.590;00:01:57.219;00:01:54.774;00:04:09.037;00:01:13.827;00:01:14.796;00:02:11.020;00:01:52.601;00:04:14.037;00:00:00.000;00:39:59.613
lt;#117;Artūras Samalius - Šarūnas Tamulis;LAISVĖS TV X;PRESS iki 4000cc;Honda Civic Type R (2000);00:02:32.225;00:02:15.716;00:00:56.517;00:00:49.581;00:04:24.985 (N);00:03:25.670;00:02:24.886 (N);00:01:27.485;00:02:00.764;00:01:55.551;00:00:00.000;00:00:00.000 (N);00:00:00.000 (N);00:01:39.084;00:01:32.401;00:02:17.475;00:02:04.456;00:04:43.213;00:01:23.827;00:01:23.315;00:02:02.872;00:01:57.996;00:04:24.292;00:00:00.000;00:45:42.311
