Country;#;Name;Competitor;Group;Vehicle;Toyota I (Širvintos);Toyota II (Širvintos);TV3 I (Molėtai);TV3 II (Molėtai);Auto Bild I (Anykščiai);Auto Bild II (Anykščiai);Inbalance Grid I (Anykščiai);Inbalance Grid II (Anykščiai);Auresa I (Panevėžys);Auresa II (Panevėžys);Febi I (Kuršėnai);Febi II (Kuršėnai);LK Day 1;Toyota C-HR I (Dubysos g.);Toyota C-HR II (Dubysos g.);Continental I (Mickai);Continental II (Mickai);Transeksta I (Švėpelių g.);Deals On Wheels I (Taikos pr.);Deals On Wheels II (Taikos pr.);Continental III (Mickai);Continental IV (Mickai);LK Day 2;Total spent time
lt;#254;Adomas Gulbinas - Julius Karvelis;;Sport iki 2000;Suzuki Swift Sport (1584);00:00:35.479;00:00:29.667;00:01:42.566;00:01:06.766;00:01:50.381;00:01:46.416;00:02:16.961;00:02:18.703;00:02:28.086;00:02:15.701;00:02:00.341;00:01:59.659;00:08:00.000 (N);00:01:30.608;00:01:29.327;00:01:58.310;00:01:55.326;00:03:43.475;00:01:07.730;00:01:05.583;00:02:28.467;00:01:51.885;00:00:00.000 (N);
lt;#211;Vytautas Puodžiūnas - Ilona Staškutė;;Sport virš 4000;Ferrari F51 (2998);00:00:28.670;00:00:27.945;00:01:08.072;00:01:05.551;00:01:43.278;00:01:40.163;00:02:12.389;00:02:11.297;00:02:53.714;00:02:15.467;00:02:01.653;00:01:53.979;00:00:00.000 (N);00:01:25.482;00:01:30.189;00:01:52.067;00:01:50.316;00:03:26.510;00:01:02.798;00:00:57.867;00:02:18.407;00:02:03.634;00:00:00.000 (N);
lt;#226;Benediktas Bočkus - Tomas Benetis;;Sport iki 2000;Honda CRX (2000);00:00:28.109;00:00:26.621;00:01:11.174;00:01:37.991;00:01:37.428;00:01:37.998;00:02:08.517;00:02:05.887;00:02:22.389;00:02:17.709;00:01:53.803;00:01:50.841;00:00:00.000 (N);00:01:39.198;00:01:19.785;00:01:48.849;00:01:46.318;00:03:15.979;00:00:58.264;00:00:58.261;00:01:41.781;00:01:51.207;00:00:00.000 (N);
lt;#113;Irmantas Gelūnas - Kamilė Dumčiūtė;;Press virš 4000;BMW 335IS;00:01:01.579;00:00:29.818;00:01:25.911;00:01:10.218;00:01:48.135;00:01:46.331;00:02:22.557;00:02:19.323;00:03:11.378;00:02:28.477;00:02:08.770;00:02:06.746;00:00:00.000 (N);00:01:33.889;00:01:26.809;00:02:02.458;00:01:55.615;00:03:41.342;00:01:01.034;00:00:59.818;00:02:38.558;00:01:56.980;00:00:00.000 (N);
lt;#251;Žygintas Kisielius - Gintarė Kiselienė;;Sport iki 2000;Toyota MR2 (1794);00:00:27.197;00:00:27.346;00:00:58.146;00:00:57.490;00:01:40.867;00:01:38.342;00:02:16.004;00:02:11.541;00:02:23.204;00:02:11.799;00:02:03.846;00:01:58.334;00:00:00.000 (N);00:01:27.601;00:01:22.968;00:01:50.845;00:01:48.562;00:03:25.906;00:01:03.951;00:01:00.723;00:01:44.470;00:01:45.586;00:00:00.000 (N);
lt;#201;Martynas Utkinas - Raimond Stefanovič;;Sport virš 4000;Audi RS5;00:00:25.193;00:00:25.860;00:01:46.813;00:01:36.399;00:01:34.432;00:01:32.120;00:02:05.195;00:02:04.853;00:02:10.229;00:02:03.406;00:01:53.414;00:01:46.107;00:01:00.000 (N);00:01:38.364;00:01:19.258;00:01:45.142;00:01:43.376;00:03:07.453;00:00:55.037;00:00:54.586;00:01:43.833;00:01:40.920;00:00:00.000 (N);
lt;#232;Simonas Kazbaras - Tadas Puronas;;Sport iki 4000;Volkswagen Golf 7 R (2000);00:00:25.243;00:00:29.307;00:01:02.449;00:01:00.592;00:01:39.336;00:01:39.210;00:02:09.883;00:02:11.433;00:02:34.471;00:02:05.520;00:01:59.171;00:01:48.272;00:01:30.000 (N);00:01:21.756;00:01:18.110;00:01:55.717;00:01:50.682;00:03:17.466;00:00:56.117;00:00:54.336;00:01:51.470;00:01:39.052;00:00:00.000 (N);
lt;#228;Kasparas Vingilis - Simonas Zalatorius;;Sport virš 4000;Porsche 911 GTS (2981);00:00:26.339;00:00:24.713;00:01:16.813;00:00:59.773;00:01:30.578;00:01:30.631;00:02:03.584;00:02:00.624;00:03:23.714;00:02:02.423;00:01:50.902;00:01:46.640;00:01:30.000 (N);00:02:29.282;00:01:17.012;00:01:41.523;00:01:39.527;00:02:57.874;00:01:19.849;00:01:36.468;00:02:48.407;00:10:00.000;00:00:10.000 (N);
lt;#239;Mindaugas Rickevičius - Paulius Vasiliūnas;;Sport iki 4000;Honda Civic Type R (1996);00:00:25.237;00:00:24.962;00:01:00.167;00:01:00.530;00:01:32.195;00:01:31.994;00:02:01.691;00:02:02.808;00:02:28.488;00:02:10.336;00:02:41.897;00:01:46.655;00:00:00.000 (N);00:01:22.041;00:01:20.732;00:01:47.839;00:01:44.048;00:03:13.688;00:00:56.273;00:00:55.838;00:01:42.174;00:01:40.712;00:00:00.000 (N);
lt;#224;Justas Jančauskas - Saulius Jonaitis;;Sport iki 3000;BMW 330iS (3000);00:01:06.873;00:00:28.843;00:01:47.625;00:01:38.594;00:01:40.135;00:01:47.150;00:02:20.455;00:02:18.267;00:03:16.048;00:02:50.996;00:02:07.031;00:02:01.579;00:00:00.000 (N);00:01:30.301;00:01:56.197;00:02:26.995;00:01:55.813;00:03:34.550;00:01:02.838;00:01:01.727;00:01:54.988;00:01:54.736;00:00:00.000 (N);
lt;#107;Matas Buzelis - Mantas Venckus;;Press iki 3000;Toyota MR2 (2400);00:00:25.738;00:00:24.987;00:00:58.486;00:00:57.467;00:01:36.042;00:01:36.660;00:02:59.763;00:02:09.395;00:02:53.431;00:02:13.237;00:01:55.969;00:01:51.971;00:00:00.000 (N);00:01:20.811;00:01:19.221;00:01:46.855;00:01:44.851;00:03:22.497;00:00:57.550;00:00:55.276;00:01:57.943;00:01:45.417;00:00:00.000 (N);
lt;#104;Antanas Akučka - Akvilė Akučkaitė Paulauskė;;Press iki 3000;Subaru BRZ (2.4);00:00:35.147;00:00:26.156;00:00:59.651;00:01:00.041;00:01:35.900;00:01:34.926;00:02:07.245;00:02:06.666;00:02:13.512;00:02:09.276;00:01:58.723;00:01:58.098;00:00:00.000 (N);00:01:19.179;00:01:19.445;00:02:07.631;00:01:48.163;00:03:28.852;00:00:58.810;00:00:58.187;00:01:44.042;00:01:44.126;00:00:00.000 (N);
lt;#229;Benas Šimkus - Gediminas Dalinkevičius;;Sport virš 4000;Audi RS 6 (4000);00:00:41.938;00:00:32.025;00:01:46.813;00:00:59.443;00:01:39.548;00:01:36.877;00:02:42.389;00:02:41.297;00:03:23.714;00:02:12.262;00:01:50.690;00:01:45.890;00:00:00.000 (N);00:01:59.282;00:01:33.086;00:01:53.759;00:01:45.830;00:03:26.510;00:00:54.139;00:00:58.594;00:02:48.407;00:01:53.372;00:00:00.000 (N);
lt;#304;Linas Butkus - Mindaugas Plukys;;Elektrinių (EV) iki 160kW;Renault Scenic e-tech;00:00:40.583;00:00:29.928;00:01:09.154;00:01:09.615;00:01:47.772;00:01:46.673;00:02:22.358;00:02:21.524;00:02:21.427;00:02:19.236;00:02:06.949;00:02:00.372;00:00:00.000 (N);00:01:31.550;00:01:29.909;00:01:56.448;00:01:55.728;00:03:23.934;00:01:05.427;00:01:03.087;00:01:59.938;00:01:58.386;00:01:00.000 (N);
